# 台帳 —— 主張と門番の対応。列: id / 文書 / 姿(⟦⟧ が主張する数) / 門 / 正規表現
# ⚠️ 数をここに三度目として書かない。姿は文書の literal、値は門の出力から取る(源は二つだけ)。
回収/region	COMMON.md	| **まとめて捨てる(region)** | **⟦53,939⟧** | **+80 命令 = +0.149%** |	icount	^probe_life\.own2\.np\s+(\d+)
README/整数/前	symbolon/README.md	| integer loop (`sum 1..1000`) | ⟦6,103,390⟧ → 15,011 | **407×** |	ladder	(\d+) 命令 \[D-tower\]
README/整数/後	symbolon/README.md	| integer loop (`sum 1..1000`) | 6,103,390 → ⟦15,011⟧ | **407×** |	ladder	段E 特殊化命令列.*?実行命令 (\d+) 個
README/整数/比	symbolon/README.md	| integer loop (`sum 1..1000`) | 6,103,390 → 15,011 | **⟦407⟧×** |	ladder	段E は \d+ 個。\*\*(\d+) 分の 1
README/閉包/前	symbolon/README.md	| closure-heavy (300 non-escaping closures) | ⟦2,350,010⟧ → 5,711 | **411×** |	clos	床D\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
README/閉包/後	symbolon/README.md	| closure-heavy (300 non-escaping closures) | 2,350,010 → ⟦5,711⟧ | **411×** |	clos	段E\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
README/閉包/比	symbolon/README.md	| closure-heavy (300 non-escaping closures) | 2,350,010 → 5,711 | **⟦411⟧×** |	clos	= \*\*(\d+) 分の 1\*\*
README/cons/前	symbolon/README.md	| cons-heavy (build a 300-cell list, fold it) | ⟦3,967,486⟧ → 9,320 | **426×** |	cons	床D\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
README/cons/後	symbolon/README.md	| cons-heavy (build a 300-cell list, fold it) | 3,967,486 → ⟦9,320⟧ | **426×** |	cons	段E\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
README/cons/比	symbolon/README.md	| cons-heavy (build a 300-cell list, fold it) | 3,967,486 → 9,320 | **⟦426⟧×** |	cons	= \*\*(\d+) 分の 1\*\*
README/wasm/整数	symbolon/README.md	| wasm (integer loop / closure) | **⟦100⟧ B** / **107 B** |	web	wasm (\d+) B
README/wasm/閉包	symbolon/README.md	| wasm (integer loop / closure) | **100 B** / **⟦107⟧ B** |	clos	段G′ wasm (\d+) B
README/wasm/cons	symbolon/README.md	| wasm with a bump heap (cons-heavy) | **⟦226⟧ B** |	cons	段G′ wasm (\d+) B
README/x86	symbolon/README.md	| x86-64 machine code, hand-encoded, `mmap` + W^X | **⟦102⟧ B** |	ladder	機械語 (\d+) B
README/engine	symbolon/README.md	| engine module (state + `step`) | **⟦159⟧ B** |	engine	wasm (\d+) B
README/html	symbolon/README.md	| self-contained HTML, wasm inlined as base64 | **⟦2,694⟧ B** |	web	自己完結 HTML (\d+) B
README/頭/wasm	symbolon/README.md	**⟦100⟧-byte** wasm	web	wasm (\d+) B
README/頭/比	symbolon/README.md	falls by **⟦407⟧×**	ladder	段E は \d+ 個。\*\*(\d+) 分の 1
床D/str/命令	COMMON.md	| **文字列が主役**(47 文字 ×20) | ⟦7,250,554⟧ | 17,331 | **418 分の 1** | **256 B** | **0 セル** |	str	床D\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
段E/str/命令	COMMON.md	| **文字列が主役**(47 文字 ×20) | 7,250,554 | ⟦17,331⟧ | **418 分の 1** | **256 B** | **0 セル** |	str	段E\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
str/減り	COMMON.md	| **文字列が主役**(47 文字 ×20) | 7,250,554 | 17,331 | **⟦418⟧ 分の 1** | **256 B** | **0 セル** |	str	= \*\*(\d+) 分の 1\*\*
段G‴/str/バイト	COMMON.md	| **文字列が主役**(47 文字 ×20) | 7,250,554 | 17,331 | **418 分の 1** | **⟦256⟧ B** | **0 セル** |	str	段G′ wasm (\d+) B
str/峰	COMMON.md	| **文字列が主役**(47 文字 ×20) | 7,250,554 | 17,331 | **418 分の 1** | **256 B** | **⟦0⟧ セル** |	str_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
合流/str	COMMON.md	`probe_str` の決定的 icount **⟦33,537⟧**	icount	^probe_str\s+(\d+)
str/前置/実走	symbolon/MISSES.md	`node probe_run.mjs probe_prepend.wasm ⟦88020⟧`	prep_run	段G′ 実走: (\d+) \(期待 88020\).*\[RUN ok\]
str/前置/峰	symbolon/MISSES.md	a heap peak of `⟦63⟧` sixteen-byte units	prep_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
str/前置/断り	symbolon/MISSES.md	must report `REFUSE ⟦str-prepend-nonbyte⟧`	prependw	段G′ \*\*吐けない\*\*.*\[REFUSE (str-prepend-nonbyte)\]
str/箱/断り	symbolon/MISSES.md	must report `REFUSE ⟦str-as-list⟧`	strbox	段G′ \*\*吐けない\*\*.*\[REFUSE (str-as-list)\]
cons/入れ子/実走	symbolon/MISSES.md	`node probe_run.mjs probe_nest.wasm ⟦702⟧`	nest_run	段G′ 実走: (\d+) \(期待 702\).*\[RUN ok\]
cons/入れ子/峰	symbolon/MISSES.md	a heap peak of `⟦9⟧ cells`	nest_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
形/ファズ/一致	symbolon/MISSES.md	`--n 120 --seed 20260906 --depth 4` agrees on ⟦354⟧	fuzz	一致 (\d+) / 食い違い 0
形/ファズ/断り	symbolon/MISSES.md	declining ⟦6⟧ of them	fuzz	食い違い 0 / 断り (\d+)
段F/畳み/バイト	symbolon/MISSES.md	folding those operands brings it to `⟦102⟧ bytes`	ladder	機械語 (\d+) B
README/限界/str	symbolon/README.md	refusal to appear as `REFUSE ⟦str-prepend-nonbyte⟧`	prependw	段G′ \*\*吐けない\*\*.*\[REFUSE (str-prepend-nonbyte)\]
README/限界/自給	symbolon/README.md	must report `⟦NOIMPORT⟧ ok`	web	\[(NOIMPORT) ok\]
閉包/捕捉/実走	symbolon/MISSES.md	`node probe_run.mjs probe_capture.wasm ⟦414⟧`	cap_run	段G′ 実走: (\d+) \(期待 414\).*\[RUN ok\]
閉包/捕捉/所有	symbolon/MISSES.md	under `--own2` it must fold and agree on ⟦414⟧	cap_own2	秤: 期待 (\d+) .*\[AGREE stage-DEF\]
枝/置き方の割れ/実走	symbolon/MISSES.md	and requires `⟦303⟧`	join_run	段G′ 実走: (\d+) \(期待 303\).*\[RUN ok\]
README/str/前	symbolon/README.md	| string-heavy (a 47-character string, ×20) | ⟦7,250,554⟧ → 17,331 | **418×** |	str	床D\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
README/str/後	symbolon/README.md	| string-heavy (a 47-character string, ×20) | 7,250,554 → ⟦17,331⟧ | **418×** |	str	段E\s+[\d.]+ ms\s+結果 \d+\s+実行命令\s+(\d+)
README/str/比	symbolon/README.md	| string-heavy (a 47-character string, ×20) | 7,250,554 → 17,331 | **⟦418⟧×** |	str	= \*\*(\d+) 分の 1\*\*
README/str/バイト	symbolon/README.md	| wasm for the string-heavy program (literal packed into the data section) | **⟦256⟧ B** |	str	段G′ wasm (\d+) B
寿命/LIFO/通/既定	symbolon/MISSES.md	so the guard passes | ⟦1,000⟧ cells | **50 cells** |	life_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
寿命/LIFO/通/峰	symbolon/MISSES.md	so the guard passes | 1,000 cells | **⟦50⟧ cells** |	life_own_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
寿命/LIFO/否/既定	symbolon/MISSES.md	so the guard rejects | ⟦1,020⟧ cells | **1,020 cells** |	lifo_def_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
寿命/LIFO/否/峰	symbolon/MISSES.md	so the guard rejects | 1,020 cells | **⟦1,020⟧ cells** |	lifo_run	heap の峰: \d+ B = \*\*(\d+) セル\*\*
段H/自給の続き	COMMON.md	⟦NO-IFOP⟧ ok	engine	\[(NO-IFOP) ok\]
